timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
48450091,-0.0286546,-0.0540333,-0.0058328,0.0
48649880,-0.0282562,-0.0551015,-0.00417346,0.0
48849866,-0.0272998,-0.056468,-0.00281197,0.0
49052234,-0.0280896,-0.0538205,-0.00195149,0.0
49252266,-0.0266393,-0.0534782,-0.00181745,0.0
49450836,-0.0341982,-0.0557737,-0.00273249,0.0
49650762,-0.0282788,-0.0559953,-0.00332456,0.0
49850706,-0.0245996,-0.0526948,-0.00420128,0.0
50049470,-0.022153,-0.0534631,-0.00711587,0.0
50249376,-0.0320632,-0.0455083,-0.0107718,0.0
50452987,-0.0333071,-0.0427484,-0.0139423,0.0
50651715,-0.0317675,-0.0426661,-0.0159952,0.0
50851686,-0.0284394,-0.0416987,-0.0167142,0.0
51050276,-0.0278678,-0.0457635,-0.0166114,0.0
51250213,-0.032925,-0.047321,-0.01535,0.0
51450146,-0.02641,-0.0491486,-0.0141429,0.0
51648839,-0.0230941,-0.0493133,-0.0129347,0.0
51852480,-0.0264814,-0.0488269,-0.0126293,0.0
52052430,-0.0276833,-0.0482762,-0.0123854,0.0
52251103,-0.0301926,-0.0471426,-0.0127935,0.0
52451030,-0.0295908,-0.0486701,-0.0139172,0.0
52650960,-0.0288845,-0.0463958,-0.0151039,0.0
52849643,-0.0287006,-0.0444233,-0.016071,0.0
53050832,-0.0282726,-0.0463332,-0.0167545,0.0
53251990,-0.0291009,-0.0459001,-0.0169464,0.0
53451934,-0.0290831,-0.0462086,-0.0164795,0.0
53651868,-0.0304789,-0.0490865,-0.0150921,0.0
53850545,-0.0297341,-0.0517371,-0.0130538,0.0
54050468,-0.0281343,-0.0545742,-0.010913,0.0
54250406,-0.0298092,-0.0550577,-0.0091103,0.0
54449093,-0.0278737,-0.0558402,-0.00762849,0.0
54649022,-0.0271145,-0.0570132,-0.00637998,0.0
54851431,-0.0257234,-0.0576028,-0.00535969,0.0
55051360,-0.0273879,-0.0581944,-0.00478442,0.0
55251301,-0.0256882,-0.0531902,-0.00480496,0.0
55450169,-0.02431,-0.0510628,-0.00557566,0.0
55649915,-0.0237881,-0.0470078,-0.0070855,0.0
55849836,-0.026708,-0.0476066,-0.00876991,0.0
56052253,-0.027214,-0.0470604,-0.00983389,0.0
56249866,-0.0220791,-0.0499037,-0.0101654,0.0
56450866,-0.0268388,-0.047314,-0.0102024,0.0
56650801,-0.0304278,-0.0454275,-0.00968729,0.0
56850744,-0.0240691,-0.049781,-0.00883733,0.0
57049547,-0.027905,-0.0515385,-0.00818936,0.0
57249361,-0.0231415,-0.0538456,-0.00787838,0.0
57453009,-0.0167723,-0.0550123,-0.00743193,0.0
57651691,-0.0236687,-0.0583447,-0.00687864,0.0
57851705,-0.0247461,-0.0541878,-0.00662376,0.0
58050308,-0.025681,-0.0506806,-0.00684982,0.0
58250248,-0.0251216,-0.0491271,-0.00786625,0.0
58450177,-0.027247,-0.0478062,-0.0092654,0.0
58648918,-0.0254252,-0.0532231,-0.00992867,0.0
58852524,-0.0243495,-0.0487734,-0.00935024,0.0
59052450,-0.0253592,-0.0588728,-0.00742342,0.0
59251186,-0.0245679,-0.0611964,-0.00632802,0.0
59451097,-0.0240097,-0.0574879,-0.00466024,0.0
59649753,-0.0275899,-0.0532486,-0.00431349,0.0
59849687,-0.0249223,-0.0502543,-0.00485609,0.0
60049624,-0.0265726,-0.046014,-0.00592721,0.0
60253292,-0.0271527,-0.0438557,-0.0138073,0.0
60451962,-0.0314217,-0.0391622,-0.0296815,0.0
60651912,-0.0298608,-0.0389947,-0.0375338,0.0
60850572,-0.0311724,-0.0389828,-0.0299441,0.0
61050505,-0.0251389,-0.0420109,-0.0338395,0.0
61250456,-0.024156,-0.043664,-0.0326573,0.0
61449162,-0.0214209,-0.046551,-0.0248319,0.0
61652784,-0.019725,-0.0463032,-0.0261049,0.0
61851476,-0.0188461,-0.0474304,-0.0211182,0.0
62051408,-0.0149382,-0.0477766,-0.01921,0.0
62251341,-0.015073,-0.0437163,-0.0184708,0.0
62450032,-0.0137188,-0.0442264,-0.01838,0.0
62649948,-0.0136509,-0.0451962,-0.0191619,0.0
62849886,-0.0133359,-0.0455355,-0.0252272,0.0
63052304,-0.0111616,-0.0453344,-0.0312483,0.0
63252229,-0.0181352,-0.0408597,-0.0338694,0.0
63452158,-0.0101296,-0.0414434,-0.03977,0.0
63650842,-0.00708625,-0.0396373,-0.044915,0.0
63850772,-0.00514388,-0.0377454,-0.0350385,0.0
64049637,-0.00625784,-0.0359194,-0.0276794,0.0
64249392,-0.00452236,-0.0355069,-0.0235002,0.0
